error,KP,KD,KI
16.640625,0.001,0.01,0.0001
26.71875,0.001,0.01,0.0001
38.4375,0.001,0.01,0.0001
29.0625,0.001,0.01,0.0001
3.28125,0.001,0.01,0.0001
11.953125,0.001,0.01,0.0001
10.390625,0.001,0.01,0.0001
29.84375,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
16.5625,0.001,0.01,0.0001
15.46875,0.001,0.01,0.0001
19.765625,0.001,0.01,0.0001
15.0,0.001,0.01,0.0001
38.828125,0.001,0.01,0.0001
18.90625,0.001,0.01,0.0001
23.28125,0.001,0.01,0.0001
32.65625,0.001,0.01,0.0001
3.671875,0.001,0.01,0.0001
37.65625,0.001,0.01,0.0001
25.9375,0.001,0.01,0.0001
24.453125,0.001,0.01,0.0001
38.125,0.001,0.01,0.0001
6.875,0.001,0.01,0.0001
34.53125,0.001,0.01,0.0001
38.828125,0.001,0.01,0.0001
6.484375,0.001,0.01,0.0001
35.0,0.001,0.01,0.0001
19.765625,0.001,0.01,0.0001
31.40625,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
10.703125,0.001,0.01,0.0001
26.40625,0.001,0.01,0.0001
31.484375,0.001,0.01,0.0001
11.875,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
21.25,0.001,0.01,0.0001
28.75,0.001,0.01,0.0001
41.640625,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
35.3125,0.001,0.01,0.0001
39.21875,0.001,0.01,0.0001
16.25,0.001,0.01,0.0001
45.546875,0.001,0.01,0.0001
24.453125,0.001,0.01,0.0001
24.765625,0.001,0.01,0.0001
34.140625,0.001,0.01,0.0001
6.875,0.001,0.01,0.0001
44.375,0.001,0.01,0.0001
31.09375,0.001,0.01,0.0001
15.390625,0.001,0.01,0.0001
25.15625,0.001,0.01,0.0001
10.78125,0.001,0.01,0.0001
44.765625,0.001,0.01,0.0001
26.796875,0.001,0.01,0.0001
20.859375,0.001,0.01,0.0001
23.984375,0.001,0.01,0.0001
20.9375,0.001,0.01,0.0001
45.15625,0.001,0.01,0.0001
28.359375,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.109375,0.001,0.01,0.0001
32.265625,0.001,0.01,0.0001
47.890625,0.001,0.01,0.0001
27.578125,0.001,0.01,0.0001
1.015625,0.001,0.01,0.0001
9.53125,0.001,0.01,0.0001
3.671875,0.001,0.01,0.0001
42.421875,0.001,0.01,0.0001
54.140625,0.001,0.01,0.0001
31.484375,0.001,0.01,0.0001
3.359375,0.001,0.01,0.0001
7.96875,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
42.421875,0.001,0.01,0.0001
54.140625,0.001,0.01,0.0001
29.921875,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
